
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010367                       # Number of seconds simulated (Second)
simTicks                                  10367173053                       # Number of ticks simulated (Tick)
finalTick                                 10367173053                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    155.93                       # Real time elapsed on the host (Second)
hostTickRate                                 66487364                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   16942384                       # Number of bytes of host memory used (Byte)
simInsts                                     52170752                       # Number of instructions simulated (Count)
simOps                                       90727843                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   334584                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     581861                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                         32096512                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.615220                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.625434                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       101004094                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       18                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       96690555                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  48552                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             10276269                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          23747468                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            31998528                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.021719                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.198267                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   6133074     19.17%     19.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2750316      8.60%     27.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4803171     15.01%     42.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   5467325     17.09%     59.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3773141     11.79%     71.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4067526     12.71%     84.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   3134987      9.80%     94.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1260098      3.94%     98.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    608890      1.90%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              31998528                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1512929     99.13%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.13% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     99.13% # attempts to use FU when none available (Count)
